bank_account,location_type,age_of_respondent,education_level,job_type
No,Rural,33,Secondary education,Farming and Fishing
No,Rural,53,No formal education,Farming and Fishing
No,Rural,27,Primary education,Farming and Fishing
No,Urban,69,Secondary education,Remittance Dependent
No,Rural,57,Primary education,Farming and Fishing
No,Urban,18,Secondary education,Remittance Dependent
No,Rural,56,Primary education,Informally employed
No,Rural,17,Primary education,Remittance Dependent
No,Urban,55,No formal education,Remittance Dependent
No,Rural,48,Primary education,Farming and Fishing
No,Rural,26,Primary education,Informally employed
No,Rural,79,Primary education,Self employed
Yes,Urban,54,Secondary education,Self employed
No,Urban,28,Vocational/Specialised training,Farming and Fishing
No,Rural,31,Primary education,Informally employed
No,Rural,34,Primary education,Farming and Fishing
No,Rural,32,Primary education,Informally employed
Yes,Urban,38,Tertiary education,Formally employed Government
No,Rural,38,Primary education,Informally employed
No,Rural,40,Primary education,Informally employed
No,Rural,31,Primary education,Farming and Fishing
No,Rural,45,Primary education,Self employed
No,Rural,58,Primary education,Farming and Fishing
No,Rural,25,Secondary education,Informally employed
No,Rural,48,Primary education,Informally employed
No,Rural,60,No formal education,Self employed
No,Rural,41,Primary education,Formally employed Private
No,Rural,36,Primary education,Farming and Fishing
No,Rural,31,Secondary education,Self employed
No,Rural,85,No formal education,Farming and Fishing
No,Rural,37,Primary education,Farming and Fishing
No,Rural,17,Primary education,Farming and Fishing
No,Rural,41,Primary education,Informally employed
No,Rural,17,Primary education,Farming and Fishing
No,Rural,20,Primary education,Informally employed
No,Rural,24,Primary education,Other Income
No,Rural,44,Secondary education,Informally employed
No,Rural,74,No formal education,Remittance Dependent
Yes,Urban,38,Primary education,Self employed
No,Rural,53,No formal education,Informally employed
No,Urban,60,Secondary education,Farming and Fishing
No,Rural,41,Primary education,Farming and Fishing
No,Urban,54,Primary education,Farming and Fishing
No,Rural,30,No formal education,Informally employed
No,Rural,75,No formal education,Farming and Fishing
No,Rural,21,Primary education,Informally employed
No,Rural,58,Primary education,Farming and Fishing
No,Rural,38,Primary education,Farming and Fishing
No,Rural,52,Secondary education,Farming and Fishing
No,Rural,33,Primary education,Farming and Fishing
No,Rural,18,Primary education,Informally employed
No,Rural,21,Primary education,Farming and Fishing
No,Rural,63,No formal education,Remittance Dependent
No,Rural,46,Primary education,Farming and Fishing
No,Rural,57,Primary education,Dont Know/Refuse to answer
No,Rural,65,Primary education,Farming and Fishing
No,Rural,22,Primary education,Self employed
No,Rural,43,Primary education,Farming and Fishing
No,Rural,59,No formal education,Informally employed
No,Rural,45,Primary education,Informally employed
Yes,Rural,45,Primary education,Self employed
Yes,Urban,45,Secondary education,Remittance Dependent
No,Rural,36,No formal education,Farming and Fishing
No,Rural,20,Secondary education,Informally employed
No,Rural,18,Primary education,Farming and Fishing
No,Rural,59,No formal education,Informally employed
No,Rural,27,Primary education,Farming and Fishing
No,Rural,49,No formal education,Farming and Fishing
No,Rural,64,No formal education,Farming and Fishing
No,Rural,51,Primary education,Farming and Fishing
No,Rural,48,Primary education,Farming and Fishing
No,Rural,26,Primary education,Informally employed
No,Rural,60,No formal education,Farming and Fishing
No,Urban,32,Primary education,Informally employed
No,Rural,27,Primary education,Informally employed
Yes,Urban,58,Primary education,Informally employed
No,Rural,56,No formal education,Informally employed
No,Urban,43,Primary education,Farming and Fishing
No,Urban,73,No formal education,Remittance Dependent
Yes,Urban,49,Tertiary education,Other Income
Yes,Urban,31,Secondary education,Remittance Dependent
No,Rural,37,Primary education,Farming and Fishing
Yes,Urban,28,Secondary education,Informally employed
Yes,Urban,56,Primary education,Other Income
No,Rural,24,Secondary education,Self employed
No,Rural,80,No formal education,Farming and Fishing
No,Rural,35,Primary education,Farming and Fishing
No,Rural,31,Primary education,Farming and Fishing
No,Rural,25,Primary education,Farming and Fishing
No,Rural,27,Tertiary education,Remittance Dependent
No,Rural,51,Primary education,Farming and Fishing
No,Rural,66,No formal education,Farming and Fishing
No,Rural,23,Primary education,Informally employed
No,Rural,30,No formal education,Informally employed
No,Rural,26,Primary education,Farming and Fishing
No,Rural,75,No formal education,Farming and Fishing
No,Urban,45,Secondary education,Formally employed Government
Yes,Rural,32,No formal education,Farming and Fishing
No,Urban,52,No formal education,Farming and Fishing
No,Rural,67,No formal education,Farming and Fishing
No,Rural,34,Primary education,Farming and Fishing
No,Rural,31,Primary education,Farming and Fishing
No,Rural,34,Primary education,Farming and Fishing
No,Rural,41,Primary education,Farming and Fishing
No,Rural,16,Primary education,Informally employed
No,Rural,55,No formal education,Informally employed
No,Rural,44,No formal education,Farming and Fishing
No,Rural,23,Primary education,Farming and Fishing
No,Rural,47,Secondary education,Farming and Fishing
No,Urban,25,Secondary education,Informally employed
No,Rural,18,Primary education,Remittance Dependent
No,Urban,26,Secondary education,Other Income
No,Urban,72,Primary education,Other Income
No,Rural,27,Primary education,Farming and Fishing
No,Rural,16,Primary education,Informally employed
No,Rural,53,Primary education,Farming and Fishing
Yes,Urban,32,Primary education,Informally employed
No,Rural,30,Primary education,Farming and Fishing
No,Rural,17,Secondary education,Farming and Fishing
No,Rural,26,Primary education,Informally employed
Yes,Rural,31,Primary education,Farming and Fishing
No,Urban,33,Primary education,Informally employed
No,Rural,40,No formal education,Informally employed
Yes,Urban,70,Primary education,Formally employed Government
No,Rural,18,Primary education,Farming and Fishing
Yes,Rural,42,Secondary education,Formally employed Government
No,Rural,31,Primary education,Remittance Dependent
No,Urban,43,Primary education,Formally employed Private
No,Rural,28,Primary education,Farming and Fishing
No,Rural,16,Primary education,Remittance Dependent
No,Rural,37,Primary education,Informally employed
No,Rural,63,No formal education,Informally employed
No,Rural,28,Primary education,Informally employed
No,Rural,30,Primary education,Farming and Fishing
Yes,Rural,43,Secondary education,Farming and Fishing
Yes,Rural,36,Primary education,Farming and Fishing
No,Rural,28,Primary education,Informally employed
No,Rural,35,Primary education,Farming and Fishing
No,Rural,36,Tertiary education,Farming and Fishing
No,Rural,19,Primary education,Farming and Fishing
No,Rural,35,Primary education,Informally employed
No,Rural,63,No formal education,Self employed
No,Rural,32,Primary education,Farming and Fishing
No,Rural,33,Primary education,Farming and Fishing
No,Rural,35,Primary education,Self employed
No,Rural,45,Primary education,Farming and Fishing
No,Rural,43,Secondary education,Farming and Fishing
No,Rural,51,Primary education,Farming and Fishing
No,Rural,22,Secondary education,Farming and Fishing
Yes,Rural,20,Primary education,Self employed
No,Rural,20,Primary education,Farming and Fishing
No,Rural,59,Primary education,Informally employed
No,Rural,53,Primary education,Farming and Fishing
Yes,Rural,36,Primary education,Farming and Fishing
No,Rural,46,Primary education,Farming and Fishing
No,Rural,35,Primary education,Farming and Fishing
No,Rural,20,Secondary education,Farming and Fishing
No,Rural,38,Primary education,Farming and Fishing
No,Rural,44,Primary education,Farming and Fishing
No,Rural,16,Secondary education,Farming and Fishing
No,Rural,49,No formal education,Informally employed
No,Rural,38,Primary education,Self employed
No,Rural,60,No formal education,Farming and Fishing
No,Rural,28,Primary education,Farming and Fishing
No,Rural,63,Primary education,Farming and Fishing
No,Rural,40,Primary education,Informally employed
No,Rural,18,Primary education,Farming and Fishing
No,Rural,37,No formal education,Informally employed
No,Rural,35,Primary education,Informally employed
No,Rural,24,Secondary education,Informally employed
No,Rural,20,Primary education,Informally employed
No,Rural,47,No formal education,Farming and Fishing
No,Rural,29,Secondary education,Farming and Fishing
Yes,Rural,59,Secondary education,Other Income
No,Rural,18,Primary education,Farming and Fishing
No,Rural,51,Secondary education,Remittance Dependent
No,Rural,30,Primary education,Farming and Fishing
No,Rural,32,Primary education,Farming and Fishing
No,Urban,38,Secondary education,Farming and Fishing
No,Rural,22,Primary education,Farming and Fishing
No,Rural,20,Secondary education,Informally employed
No,Urban,36,Primary education,Remittance Dependent
Yes,Rural,46,Secondary education,Farming and Fishing
No,Rural,50,No formal education,Farming and Fishing
No,Rural,55,Primary education,Farming and Fishing
No,Rural,41,Secondary education,Farming and Fishing
No,Rural,53,No formal education,Informally employed
No,Rural,30,Primary education,Informally employed
No,Rural,39,Primary education,Farming and Fishing
No,Rural,35,No formal education,Informally employed
No,Rural,35,Primary education,Informally employed
No,Rural,30,Primary education,Farming and Fishing
No,Rural,60,No formal education,Farming and Fishing
No,Urban,29,Primary education,Remittance Dependent
No,Rural,42,Tertiary education,Farming and Fishing
No,Rural,46,Primary education,Farming and Fishing
No,Rural,55,No formal education,Farming and Fishing
No,Rural,33,Primary education,Informally employed
No,Rural,24,Primary education,Other Income
No,Rural,23,Primary education,Informally employed
No,Urban,42,Primary education,Farming and Fishing
No,Urban,25,Primary education,Informally employed
Yes,Urban,35,Secondary education,Farming and Fishing
Yes,Urban,21,Secondary education,Other Income
No,Rural,63,Other/Dont know/RTA,Informally employed
No,Urban,27,Secondary education,Remittance Dependent
No,Rural,26,Secondary education,Farming and Fishing
No,Rural,40,Primary education,Farming and Fishing
No,Rural,43,Primary education,Self employed
Yes,Rural,31,Primary education,Informally employed
No,Rural,54,Primary education,Informally employed
No,Urban,19,Secondary education,Remittance Dependent
No,Rural,48,Primary education,Farming and Fishing
No,Rural,89,No formal education,Remittance Dependent
No,Rural,31,Primary education,Formally employed Private
No,Urban,54,No formal education,Farming and Fishing
No,Rural,65,Primary education,Farming and Fishing
No,Rural,29,Primary education,Farming and Fishing
No,Rural,30,Primary education,Informally employed
Yes,Rural,31,Primary education,Self employed
No,Rural,44,Primary education,Farming and Fishing
No,Rural,25,Primary education,Self employed
No,Rural,37,Primary education,Farming and Fishing
No,Rural,33,Primary education,Informally employed
No,Rural,30,Primary education,Informally employed
No,Rural,36,Primary education,Self employed
